date_reported,Close,confirmed_cases
01-22-2020,11898.11035,1
01-23-2020,11889.7002,9
01-24-2020,11773.71973,549
01-25-2020,NULL,761
01-26-2020,NULL,1058
01-27-2020,11627.66016,1423
01-28-2020,11699.33008,3554
01-29-2020,11662.73047,3554
01-30-2020,11705.2002,4903
01-31-2020,11488.41016,5806
02-01-2020,NULL,7153
02-02-2020,NULL,11177
02-03-2020,11537.65039,13522
02-04-2020,11675.41016,16678
02-05-2020,11834.73047,19665
02-06-2020,11846.55957,22112
02-07-2020,11786.49023,24953
02-08-2020,NULL,27100
02-09-2020,NULL,29631
02-10-2020,11843.41992,31728
02-11-2020,11876.98047,33366
02-12-2020,11924.40039,33366
02-13-2020,11905.58008,48206
02-14-2020,11914.69043,54406
02-15-2020,NULL,56249
02-16-2020,NULL,58182
02-17-2020,NULL,59989
02-18-2020,11854.99023,61682
02-19-2020,11900.41992,62031
02-20-2020,11879.12012,62442
02-21-2020,11821.82031,62662
02-22-2020,NULL,64084
02-23-2020,NULL,64084
02-24-2020,11446.38965,64287
02-25-2020,11074.75,64786
02-26-2020,10984.62988,65187
02-27-2020,10535.11035,65596
02-28-2020,10392.21973,65914
02-29-2020,NULL,66337
03-01-2020,NULL,66907
03-02-2020,10856.19043,67103
03-03-2020,10565.29981,67217
03-04-2020,11033.69043,67332
03-05-2020,10642.40039,67466
03-06-2020,10475.69043,67592
03-07-2020,NULL,67666
03-08-2020,NULL,67707
03-09-2020,9662.549805,67743
03-10-2020,10126.76953,67760
03-11-2020,9619.330078,67773
03-12-2020,8708.349609,67781
03-13-2020,9503.950195,67786
03-14-2020,NULL,67790
03-15-2020,NULL,67794
03-16-2020,8387.200195,67798
03-17-2020,8859.610352,67799
03-18-2020,8369.639648,67800
03-19-2020,8349.040039,67800
03-20-2020,7973.890137,67800
03-21-2020,NULL,67800
03-22-2020,NULL,9654
03-23-2020,7594.22998,1
03-24-2020,8379.519531,1
03-25-2020,8588.089844,3
03-26-2020,9155.900391,3
03-27-2020,8862.209961,4
03-28-2020,NULL,3
03-29-2020,NULL,3
03-30-2020,9139.780273,3
03-31-2020,8963.349609,4
